address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped
764 Kent Rd,Nashville,TN,37214,"$349,900",2,2,"1,280",36.15694,-86.66327,Condo for sale,https://www.zillow.com/homedetails/764-Kent-Rd-Nashville-TN-37214/41121387_zpid/,06-23-2022_21:37:39
4005 Utah Ave,Nashville,TN,37209,"$1,999,000",4,6,"3,654",36.14374,-86.833176,New construction,https://www.zillow.com/homedetails/4005-Utah-Ave-Nashville-TN-37209/41126214_zpid/,06-23-2022_21:37:39
117 Bowling Ave,Nashville,TN,37205,"$2,599,000",5,6,"4,656",36.138367,-86.827065,New construction,https://www.zillow.com/homedetails/117-Bowling-Ave-Nashville-TN-37205/41128644_zpid/,06-23-2022_21:37:39
5220 Pennsylvania Ave,Nashville,TN,37209,"$850,000",4,3,"2,666",36.1634,-86.85207,Coming soon,https://www.zillow.com/homedetails/5220-Pennsylvania-Ave-Nashville-TN-37209/124894730_zpid/,06-23-2022_21:37:39
3852 Priest Lake Dr,Nashville,TN,37217,"$285,000",4,3,"1,776",36.100445,-86.60647,Coming soon,https://www.zillow.com/homedetails/3852-Priest-Lake-Dr-Nashville-TN-37217/41166201_zpid/,06-23-2022_21:37:39
3108 Knobview Dr,Nashville,TN,37214,"$450,000",3,2,"1,862",36.181225,-86.66987,Coming soon,https://www.zillow.com/homedetails/3108-Knobview-Dr-Nashville-TN-37214/41107988_zpid/,06-23-2022_21:37:39
1415 Fulton St,Nashville,TN,37206,"$519,000",3,2,924,36.167225,-86.745964,Coming soon,https://www.zillow.com/homedetails/1415-Fulton-St-Nashville-TN-37206/41118075_zpid/,06-23-2022_21:37:39
817 Colfax Dr,Nashville,TN,37214,"$319,900",3,1,"1,000",36.153366,-86.65858,Coming soon,https://www.zillow.com/homedetails/817-Colfax-Dr-Nashville-TN-37214/41122220_zpid/,06-23-2022_21:37:39
5508 Brookshire Dr,Nashville,TN,37211,"$795,000",5,4,"3,003",36.02329,-86.74003,Coming soon,https://www.zillow.com/homedetails/5508-Brookshire-Dr-Nashville-TN-37211/55295852_zpid/,06-23-2022_21:37:39
1523 Douglas Ave,Nashville,TN,37206,"$649,900",3,2,"1,986",36.19223,-86.7376,Coming soon,https://www.zillow.com/homedetails/1523-Douglas-Ave-Nashville-TN-37206/41088789_zpid/,06-23-2022_21:37:39
8204 Londonberry Rd,Nashville,TN,37221,"$585,000",4,4,"3,145",36.06305,-86.97629,Coming soon,https://www.zillow.com/homedetails/8204-Londonberry-Rd-Nashville-TN-37221/41168807_zpid/,06-23-2022_21:37:39
1513 Rosebank Ave,Nashville,TN,37206,"$599,900",4,3,"2,113",36.19418,-86.70824,Coming soon,https://www.zillow.com/homedetails/1513-Rosebank-Ave-Nashville-TN-37206/41091033_zpid/,06-23-2022_21:37:39
2426 Batavia St,Nashville,TN,37208,"$250,000",,,"5,663",36.161606,-86.81363,Lot / Land for sale,https://www.zillow.com/homedetails/2426-Batavia-St-Nashville-TN-37208/41116235_zpid/,06-23-2022_21:37:39
303 37th Ave N,Nashville,TN,37209,"$1,459,000",4,4,"3,090",36.14963,-86.82848,New construction,https://www.zillow.com/homedetails/303-37th-Ave-N-Nashville-TN-37209/41117044_zpid/,06-23-2022_21:37:39
3321 Love Cir,Nashville,TN,37212,"$550,000",3,3,"1,749",36.138954,-86.81614,House for sale,https://www.zillow.com/homedetails/3321-Love-Cir-Nashville-TN-37212/41128851_zpid/,06-23-2022_21:37:39
1929 20th Ave S,Nashville,TN,37212,"$1,795,000",4,4,"4,669",36.133636,-86.800285,House for sale,https://www.zillow.com/homedetails/1929-20th-Ave-S-Nashville-TN-37212/41130186_zpid/,06-23-2022_21:37:39
3104 Woodlawn Dr,Nashville,TN,37215,"$4,500,000",6,7,"6,863",36.124153,-86.82354,New construction,https://www.zillow.com/homedetails/3104-Woodlawn-Dr-Nashville-TN-37215/41142275_zpid/,06-23-2022_21:37:39
725 Longhunter Ct,Nashville,TN,37217,"$277,000",3,4,"2,227",36.095173,-86.63847,Townhouse for sale,https://www.zillow.com/homedetails/725-Longhunter-Ct-Nashville-TN-37217/41165172_zpid/,06-23-2022_21:37:39
348 Blackman Rd,Nashville,TN,37211,"$749,900",4,3,"2,997",36.07499,-86.74902,House for sale,https://www.zillow.com/homedetails/348-Blackman-Rd-Nashville-TN-37211/41177217_zpid/,06-23-2022_21:37:39
5018 Packard Dr,Nashville,TN,37211,"$659,000",4,4,"2,300",36.06104,-86.70622,House for sale,https://www.zillow.com/homedetails/5018-Packard-Dr-Nashville-TN-37211/41181315_zpid/,06-23-2022_21:37:39
319 Wiles Ct,Hermitage,TN,37076,"$467,500",3,3,"2,203",36.193966,-86.601715,House for sale,https://www.zillow.com/homedetails/319-Wiles-Ct-Hermitage-TN-37076/71264145_zpid/,06-23-2022_21:37:39
810 Porter Rd,Nashville,TN,37206,"$900,000",3,2,"2,286",36.18448,-86.73224,House for sale,https://www.zillow.com/homedetails/810-Porter-Rd-Nashville-TN-37206/41103360_zpid/,06-23-2022_21:37:39
4104 Hunting Dr,Hermitage,TN,37076,"$429,900",4,2,"1,508",36.17996,-86.612595,Multi-family home for sale,https://www.zillow.com/homedetails/4104-Hunting-Dr-Hermitage-TN-37076/41109528_zpid/,06-23-2022_21:37:39
509 Rockwood Dr,Hermitage,TN,37076,"$393,000",3,2,"1,130",36.17807,-86.6001,House for sale,https://www.zillow.com/homedetails/509-Rockwood-Dr-Hermitage-TN-37076/41109592_zpid/,06-23-2022_21:37:39
4560 Brooke Valley Dr,Hermitage,TN,37076,"$320,000",4,2,"1,519",36.17734,-86.58656,Multi-family home for sale,https://www.zillow.com/homedetails/4560-Brooke-Valley-Dr-Hermitage-TN-37076/41110696_zpid/,06-23-2022_21:37:39
4420 Central Valley Dr,Hermitage,TN,37076,"$289,000",4,2,"1,537",36.174656,-86.58584,Multi-family home for sale,https://www.zillow.com/homedetails/4420-Central-Valley-Dr-Hermitage-TN-37076/41110839_zpid/,06-23-2022_21:37:39
2705 Morena St,Nashville,TN,37208,"$500,000",4,2,"1,296",36.16266,-86.81808,House for sale,https://www.zillow.com/homedetails/2705-Morena-St-Nashville-TN-37208/41115955_zpid/,06-23-2022_21:37:39
2700 Lakeland Dr,Nashville,TN,37214,"$389,900",3,2,"1,386",36.15595,-86.671265,House for sale,https://www.zillow.com/homedetails/2700-Lakeland-Dr-Nashville-TN-37214/41120308_zpid/,06-23-2022_21:37:39
6612 Fleetwood Dr,Nashville,TN,37209,"$895,000",2,1,"1,412",36.13503,-86.87878,House for sale,https://www.zillow.com/homedetails/6612-Fleetwood-Dr-Nashville-TN-37209/41124950_zpid/,06-23-2022_21:37:39
977 Davidson Dr,Nashville,TN,37205,"$649,500",3,2,"1,536",36.12224,-86.90224,House for sale,https://www.zillow.com/homedetails/977-Davidson-Dr-Nashville-TN-37205/41138709_zpid/,06-23-2022_21:37:39
5668 Hickory Woods Dr,Antioch,TN,37013,"$467,990",5,3,"2,511",36.027153,-86.58603,Coming soon,https://www.zillow.com/homedetails/5668-Hickory-Woods-Dr-Antioch-TN-37013/2062709087_zpid/,06-23-2022_21:37:39
5672 Hickory Woods Dr,Antioch,TN,37013,"$480,990",4,3,"2,618",36.027153,-86.58603,Coming soon,https://www.zillow.com/homedetails/5672-Hickory-Woods-Dr-Antioch-TN-37013/2062709088_zpid/,06-23-2022_21:37:39
5653 Hickory Woods Dr,Antioch,TN,37013,"$447,990",3,3,"2,164",,,Coming soon,https://www.zillow.com/homedetails/5653-Hickory-Woods-Dr-Antioch-TN-37013/2062709176_zpid/,06-23-2022_21:37:39
Aruba Bay Plan,,,1,"$395,990",2,2,"1,153",36.252144,-86.77804,New construction,https://www.zillow.com/community/thornton-grove-1-story/2072809312_zpid/,06-23-2022_21:37:39
805 Joyce Ln,Nashville,TN,37216,"$350,000",2,1,"1,030",36.23502,-86.73439,Coming soon,https://www.zillow.com/homedetails/805-Joyce-Ln-Nashville-TN-37216/41074593_zpid/,06-23-2022_21:37:39
The Langford Plan,,,,"$425,990",3,2,"1,740",36.227356,-86.8498,New construction,https://www.zillow.com/community/crossings-at-drakes-branch/2062906539_zpid/,06-23-2022_21:37:39
Lilac Plan,,,,"$585,000",3,3,"2,222",36.209373,-86.86597,New construction,https://www.zillow.com/community/cato-cottages/2070531495_zpid/,06-23-2022_21:37:39
1701 Westchester Dr,Nashville,TN,37207,"$60,000",,,,36.254528,-86.77097,Lot / Land for sale,https://www.zillow.com/homedetails/1701-Westchester-Dr-Nashville-TN-37207/108781054_zpid/,06-23-2022_21:37:39
2740 Sparrowgap Trl,Antioch,TN,37013,"$363,680",3,3,"1,485",36.058887,-86.60869,New construction,https://www.zillow.com/homedetails/2740-Sparrowgap-Trl-Antioch-TN-37013/2062702017_zpid/,06-23-2022_21:37:39
4701 Rockland Trl,Antioch,TN,37013,"$519,900",4,3,"3,025",36.03342,-86.58672,House for sale,https://www.zillow.com/homedetails/4701-Rockland-Trl-Antioch-TN-37013/81102672_zpid/,06-23-2022_21:37:39
