address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
5635 SW Knightsbridge Dr,Portland,OR,97219,"$1,199,900",5,5,"5,503",45.458378,-122.73513,Active,https://www.zillow.com/homedetails/5635-SW-Knightsbridge-Dr-Portland-OR-97219/53819436_zpid/,06-23-2022_21:20:34,53819436,3D Homes Icon3D Tour
12634 NW Barnes Rd APT 3,Portland,OR,97229,"$199,900",1,1,596,45.52312,-122.80799,Active,https://www.zillow.com/homedetails/12634-NW-Barnes-Rd-APT-3-Portland-OR-97229/48525289_zpid/,06-23-2022_21:20:34,48525289,7 days on Zillow
4417 N Willis Blvd,Portland,OR,97203,"$475,000",2,2,"1,244",45.584324,-122.71284,Active,https://www.zillow.com/homedetails/4417-N-Willis-Blvd-Portland-OR-97203/53974142_zpid/,06-23-2022_21:20:34,53974142,Play video iconVideo Walkthrough
9522 N Exeter Ave,Portland,OR,97203,"$589,000",3,3,"1,860",45.59167,-122.72183,Active,https://www.zillow.com/homedetails/9522-N-Exeter-Ave-Portland-OR-97203/53843630_zpid/,06-23-2022_21:20:34,53843630,7 days on Zillow
3136 SE 81st Ave,Portland,OR,97206,"$415,000",2,1,830,45.499603,-122.579506,Active,https://www.zillow.com/homedetails/3136-SE-81st-Ave-Portland-OR-97206/53852934_zpid/,06-23-2022_21:20:34,53852934,7 days on Zillow
4040 SW Greenhills Way,Portland,OR,97221,"$1,350,000",5,4,"3,533",45.500923,-122.718704,Active,https://www.zillow.com/homedetails/4040-SW-Greenhills-Way-Portland-OR-97221/53873283_zpid/,06-23-2022_21:20:34,53873283,Play video iconVideo Walkthrough
13718 SE Division St,Portland,OR,97236,"$2,585,500",1,1,"2,565",45.503643,-122.52249,Active,https://www.zillow.com/homedetails/13718-SE-Division-St-Portland-OR-97236/2085412795_zpid/,06-23-2022_21:20:34,2085412795,7 days on Zillow
628 S Palatine Hill Rd,Portland,OR,97219,"$749,900",5,2,"2,222",45.449566,-122.673096,Active,https://www.zillow.com/homedetails/628-S-Palatine-Hill-Rd-Portland-OR-97219/53957338_zpid/,06-23-2022_21:20:34,53957338,7 days on Zillow
6605 W Burnside Rd UNIT 134,Portland,OR,97210,"$290,000",1,1,707,45.517418,-122.74419,Active,https://www.zillow.com/homedetails/6605-W-Burnside-Rd-UNIT-134-Portland-OR-97210/2066349555_zpid/,06-23-2022_21:20:34,2066349555,7 days on Zillow
1903 SE Brooklyn St,Portland,OR,97202,"$674,900",3,2,"2,492",45.50149,-122.64645,Active,https://www.zillow.com/homedetails/1903-SE-Brooklyn-St-Portland-OR-97202/53969877_zpid/,06-23-2022_21:20:34,53969877,7 days on Zillow
