address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id
400 N Church St UNIT 232,Charlotte,NC,28202,"$559,000",2,3,"1,657",35.230824,-80.84003,Condo for sale,https://www.zillow.com/homedetails/400-N-Church-St-UNIT-232-Charlotte-NC-28202/6184675_zpid/,06-23-2022_21:45:40,6184675
8214 Windsor Ridge Dr,Charlotte,NC,28277,"$395,000",2,2,"1,578",35.04852,-80.81193,Condo for sale,https://www.zillow.com/homedetails/8214-Windsor-Ridge-Dr-Charlotte-NC-28277/65030873_zpid/,06-23-2022_21:45:40,65030873
7022 Elm Hill Ct,Charlotte,NC,28217,"$267,000",2,3,"1,242",35.15933,-80.92318,Coming soon,https://www.zillow.com/homedetails/7022-Elm-Hill-Ct-Charlotte-NC-28217/65027452_zpid/,06-23-2022_21:45:40,65027452
3833 Mosscroft Ln,Charlotte,NC,28215,"$227,300",3,2,"1,360",35.262478,-80.7338,Coming soon,https://www.zillow.com/homedetails/3833-Mosscroft-Ln-Charlotte-NC-28215/6206361_zpid/,06-23-2022_21:45:40,6206361
7429 Hurstbourne Green Dr,Charlotte,NC,28277,"$491,000",3,3,"1,649",35.06619,-80.81564,Condo for sale,https://www.zillow.com/homedetails/7429-Hurstbourne-Green-Dr-Charlotte-NC-28277/6320056_zpid/,06-23-2022_21:45:40,6320056
1312 Morningside Dr,Charlotte,NC,28205,"$799,000",3,3,"2,180",35.215767,-80.79934,House for sale,https://www.zillow.com/homedetails/1312-Morningside-Dr-Charlotte-NC-28205/6224986_zpid/,06-23-2022_21:45:40,6224986
17102 Sand Bank Rd #372,Charlotte,NC,28278,"$576,710",4,4,"2,720",35.09437,-81.03914,New construction,https://www.zillow.com/homedetails/17102-Sand-Bank-Rd-372-Charlotte-NC-28278/2062777572_zpid/,06-23-2022_21:45:40,2062777572
18010 Grey Mossrun Dr #354,Charlotte,NC,28278,"$589,990",3,4,"2,590",,,New construction,https://www.zillow.com/homedetails/18010-Grey-Mossrun-Dr-354-Charlotte-NC-28278/2062777592_zpid/,06-23-2022_21:45:40,2062777592
18014 Grey Mossrun Dr #353,Charlotte,NC,28278,"$574,990",3,4,"2,720",35.09386,-81.041336,New construction,https://www.zillow.com/homedetails/18014-Grey-Mossrun-Dr-353-Charlotte-NC-28278/2062777605_zpid/,06-23-2022_21:45:40,2062777605
18018 Grey Mossrun Dr #352,Charlotte,NC,28278,"$569,990",3,4,"2,590",35.09372,-81.04132,New construction,https://www.zillow.com/homedetails/18018-Grey-Mossrun-Dr-352-Charlotte-NC-28278/2062777681_zpid/,06-23-2022_21:45:40,2062777681
17106 Sand Bank Rd #373,Charlotte,NC,28278,"$524,990",3,3,"1,882",35.094482,-81.03925,New construction,https://www.zillow.com/homedetails/17106-Sand-Bank-Rd-373-Charlotte-NC-28278/2062777682_zpid/,06-23-2022_21:45:40,2062777682
11117 Olde English Dr,Charlotte,NC,28216,"$275,000",3,3,"1,367",35.29478,-80.85321,House for sale,https://www.zillow.com/homedetails/11117-Olde-English-Dr-Charlotte-NC-28216/65020639_zpid/,06-23-2022_21:45:40,65020639
9109 Kestral Ridge Dr,Charlotte,NC,28269,"$471,000",3,3,"2,275",35.38955,-80.77354,House for sale,https://www.zillow.com/homedetails/9109-Kestral-Ridge-Dr-Charlotte-NC-28269/80447775_zpid/,06-23-2022_21:45:40,80447775
3131 Everly Enclave Way #5,Charlotte,NC,28210,"$700,902",3,3,"2,267",,,New construction,https://www.zillow.com/homedetails/3131-Everly-Enclave-Way-5-Charlotte-NC-28210/2062786990_zpid/,06-23-2022_21:45:40,2062786990
3223 Landerwood Dr,Charlotte,NC,28210,"$875,000",5,3,"3,187",35.138676,-80.823906,House for sale,https://www.zillow.com/homedetails/3223-Landerwood-Dr-Charlotte-NC-28210/6289631_zpid/,06-23-2022_21:45:40,6289631
Aden Plan,,,,"$468,990",4,4,"2,124",35.183945,-80.91695,New construction,https://www.zillow.com/community/city-park-heights-series/2078601954_zpid/,06-23-2022_21:45:40,2078601954
5021 Alexander Dowd Dr #12,Charlotte,NC,28270,"$1,185,450",4,4,"3,095",35.11445,-80.76317,New construction,https://www.zillow.com/homedetails/5021-Alexander-Dowd-Dr-12-Charlotte-NC-28270/2062787425_zpid/,06-23-2022_21:45:40,2062787425
13312 Porter Creek Rd #85,Charlotte,NC,28262,"$329,500",3,3,"1,364",35.349113,-80.7284,New construction,https://www.zillow.com/homedetails/13312-Porter-Creek-Rd-85-Charlotte-NC-28262/2062787447_zpid/,06-23-2022_21:45:40,2062787447
