address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
2121 NW 31st Street,Oklahoma City,OK,73112,"$112,500",2,1,936,35.50221,-97.54869,House for sale,https://www.zillow.com/homedetails/2121-NW-31st-St-Oklahoma-City-OK-73112/21853611_zpid/,06-23-2022_21:41:29,21853611,"Price cut: $2,500 (Jun 23)"
9100 SW 33rd Street,Oklahoma City,OK,73179,"$575,999",4,4,"3,692",35.430817,-97.67413,House for sale,https://www.zillow.com/homedetails/9100-SW-33rd-St-Oklahoma-City-OK-73179/123671158_zpid/,06-23-2022_21:41:29,123671158,Play video iconVideo Walkthrough
5400 NW 107 Terrace,Oklahoma City,OK,73162,"$575,000",5,4,"3,349",35.577618,-97.61368,House for sale,https://www.zillow.com/homedetails/5400-NW-107th-Ter-Oklahoma-City-OK-73162/251122110_zpid/,06-23-2022_21:41:29,251122110,37 days on Zillow
9900 N Lincoln Boulevard,Oklahoma City,OK,73114,"$595,000",,,,35.572403,-97.50363,Lot / Land for sale,https://www.zillow.com/homedetails/9900-N-Lincoln-Blvd-Oklahoma-City-OK-73114/21952861_zpid/,06-23-2022_21:41:29,21952861,37 days on Zillow
2601 SW 93rd Avenue,Oklahoma City,OK,73159,"$214,999",3,2,"1,874",35.373337,-97.55921,House for sale,https://www.zillow.com/homedetails/2601-SW-93rd-St-Oklahoma-City-OK-73159/21754791_zpid/,06-23-2022_21:41:29,21754791,Price cut: $1 (Jun 9)
Mallory Plus Plan,,,,"$413,840",4,2,"2,200",35.41321,-97.70665,New construction,https://www.zillow.com/community/canyons/2066593658_zpid/,06-23-2022_21:41:29,2066593658,37 days on Zillow
5017 N Nebraska Avenue,Oklahoma City,OK,73111,"$350,000",3,2,"2,030",35.522053,-97.47921,New construction,https://www.zillow.com/homedetails/5017-N-Nebraska-Ave-Oklahoma-City-OK-73111/21966662_zpid/,06-23-2022_21:41:29,21966662,38 days on Zillow
2116 Westchester Drive,The Village,OK,73120,"$209,500",3,1,"1,092",35.558556,-97.55911,House for sale,https://www.zillow.com/homedetails/2116-Westchester-Dr-The-Village-OK-73120/22021987_zpid/,06-23-2022_21:41:29,22021987,"Price cut: $11,500 (Jun 3)"
Pendleton Plan,,,,"$397,041",4,3,"2,402",35.30897,-97.54716,New construction,https://www.zillow.com/community/native-plains/2067023121_zpid/,06-23-2022_21:41:29,2067023121,Open: M: 1:00 PM-6:00 P...
6208 Waterford Boulevard UNIT 90,Oklahoma City,OK,73118,"$529,000",2,3,"2,190",35.535156,-97.5441,Condo for sale,https://www.zillow.com/homedetails/6208-Waterford-Blvd-APT-90-Oklahoma-City-OK-73118/2063263191_zpid/,06-23-2022_21:41:29,2063263191,38 days on Zillow
8921 NW 135th Place,Oklahoma City,OK,73034,"$559,900",4,4,"2,670",35.606003,-97.67355,New construction,https://www.zillow.com/homedetails/8921-NW-135th-Pl-Oklahoma-City-OK-73142/2081038343_zpid/,06-23-2022_21:41:29,2081038343,Open: M: 9:00 AM-5:00 P...
816 NW 8th Street,Oklahoma City,OK,73106,"$325,000",,,"7,000",35.47604,-97.52653,Lot / Land for sale,https://www.zillow.com/homedetails/816-NW-8th-St-Oklahoma-City-OK-73106/80919943_zpid/,06-23-2022_21:41:29,80919943,44 days on Zillow
7733 Willow Place,Oklahoma City,OK,73132,"$333,490",4,2,"1,823",35.549294,-97.666306,New construction,https://www.zillow.com/homedetails/7733-Willow-Pl-Oklahoma-City-OK-73132/2063343068_zpid/,06-23-2022_21:41:29,2063343068,44 days on Zillow
7737 Willow Place,Oklahoma City,OK,73132,"$364,990",4,3,"2,030",35.550426,-97.66631,New construction,https://www.zillow.com/homedetails/7737-Willow-Pl-Oklahoma-City-OK-73132/2063343069_zpid/,06-23-2022_21:41:29,2063343069,44 days on Zillow
