address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
10522 Vinca Minor Ln,Houston,TX,77016,"$281,115",3,2,"1,553",,,New construction,https://www.zillow.com/homedetails/10522-Vinca-Minor-Ln-Houston-TX-77016/2062689253_zpid/,06-23-2022_21:17:09,2062689253,2 days on Zillow
10507 Orchid St,Houston,TX,77017,"$264,250",3,2,"1,459",29.690527,-95.24231,New construction,https://www.zillow.com/homedetails/10507-Orchid-St-Houston-TX-77017/2062689357_zpid/,06-23-2022_21:17:09,2062689357,2 days on Zillow
14311 Chevy Chase Dr,Houston,TX,77077,"$425,000",4,3,"2,922",29.741835,-95.64123,House for sale,https://www.zillow.com/homedetails/14311-Chevy-Chase-Dr-Houston-TX-77077/28159398_zpid/,06-23-2022_21:17:09,28159398,2 days on Zillow
10523 Orchid St,Houston,TX,77017,"$264,985",3,2,"1,459",29.690527,-95.24231,New construction,https://www.zillow.com/homedetails/10523-Orchid-St-Houston-TX-77017/2062689404_zpid/,06-23-2022_21:17:09,2062689404,2 days on Zillow
3011 Houston Ave APT B,Houston,TX,77009,"$515,000",3,4,"2,402",29.785934,-95.37231,House for sale,https://www.zillow.com/homedetails/3011-Houston-Ave-APT-B-Houston-TX-77009/2099682343_zpid/,06-23-2022_21:17:09,2099682343,"Price cut: $20,000 (Jun 21)"
9010 Ferris Dr,Houston,TX,77096,"$350,000",4,2,"2,435",29.679379,-95.47223,House for sale,https://www.zillow.com/homedetails/9010-Ferris-Dr-Houston-TX-77096/28080910_zpid/,06-23-2022_21:17:09,28080910,2 days on Zillow
10502 Vinca Minor Ln,Houston,TX,77016,"$259,925",3,2,"1,459",,,New construction,https://www.zillow.com/homedetails/10502-Vinca-Minor-Ln-Houston-TX-77016/2062689670_zpid/,06-23-2022_21:17:09,2062689670,2 days on Zillow
10519 Vinca Minor Ln,Houston,TX,77016,"$264,915",3,2,"1,459",,,New construction,https://www.zillow.com/homedetails/10519-Vinca-Minor-Ln-Houston-TX-77016/2062689695_zpid/,06-23-2022_21:17:09,2062689695,2 days on Zillow
14142 Bishop Bend Ln,Houston,TX,77047,"$250,000",4,3,"1,505",29.60251,-95.35645,House for sale,https://www.zillow.com/homedetails/14142-Bishop-Bend-Ln-Houston-TX-77047/70311565_zpid/,06-23-2022_21:17:09,70311565,2 days on Zillow
10314 Richmond Hill Dr,Houston,TX,77041,"$175,000",2,2,"1,070",29.836414,-95.54927,House for sale,https://www.zillow.com/homedetails/10314-Richmond-Hill-Dr-Houston-TX-77041/28210686_zpid/,06-23-2022_21:17:09,28210686,2 days on Zillow
1558 Wood Lodge Dr,Houston,TX,77077,"$600,000",4,3,"2,704",29.750988,-95.57828,House for sale,https://www.zillow.com/homedetails/1558-Wood-Lodge-Dr-Houston-TX-77077/28238645_zpid/,06-23-2022_21:17:09,28238645,2 days on Zillow
3300 Yorktown St APT 27,Houston,TX,77056,"$179,900",2,2,"1,190",29.731047,-95.47131,Condo for sale,https://www.zillow.com/homedetails/3300-Yorktown-St-APT-27-Houston-TX-77056/28276311_zpid/,06-23-2022_21:17:09,28276311,2 days on Zillow
