address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
5529 S Blackstone Ave APT 1E,Chicago,IL,60637,"$221,000",2,1,850,41.794376,-87.5899,New,3990231,https://www.zillow.com/homedetails/5529-S-Blackstone-Ave-APT-1E-Chicago-IL-60637/3990231_zpid/,06-10-2022_19:19:22
1630 W Julian St #3,Chicago,IL,60622,"$699,000",3,3,--,41.90856,-87.66888,New,89947746,https://www.zillow.com/homedetails/1630-W-Julian-St-3-Chicago-IL-60622/89947746_zpid/,06-10-2022_19:19:22
150 W Eugenie St APT 26,Chicago,IL,60614,"$749,900",4,4,--,41.913555,-87.63399,New,3742583,https://www.zillow.com/homedetails/150-W-Eugenie-St-APT-26-Chicago-IL-60614/3742583_zpid/,06-10-2022_19:19:22
920 N Laramie Ave,Chicago,IL,60651,"$269,900",6,3,--,41.897438,-87.75601,New,2067500563,https://www.zillow.com/homedetails/920-N-Laramie-Ave-Chicago-IL-60651/2067500563_zpid/,06-10-2022_19:19:22
5259 S Mulligan Ave,Chicago,IL,60638,"$380,000",3,2,"1,270",41.79624,-87.78035,New,3920973,https://www.zillow.com/homedetails/5259-S-Mulligan-Ave-Chicago-IL-60638/3920973_zpid/,06-10-2022_19:19:22
8224 S Sacramento Ave,Chicago,IL,60652,"$275,000",4,2,--,41.743584,-87.697685,New,3977854,https://www.zillow.com/homedetails/8224-S-Sacramento-Ave-Chicago-IL-60652/3977854_zpid/,06-10-2022_19:19:22
2516 N Halsted St #4S,Chicago,IL,60614,"$795,000",3,2,--,41.927822,-87.6492,New,80845897,https://www.zillow.com/homedetails/2516-N-Halsted-St-4S-Chicago-IL-60614/80845897_zpid/,06-10-2022_19:19:22
5806 W 64th Pl,Chicago,IL,60638,"$379,500",7,5,--,41.77549,-87.7669,New,3948494,https://www.zillow.com/homedetails/5806-W-64th-Pl-Chicago-IL-60638/3948494_zpid/,06-10-2022_19:19:22
312 N May St UNIT 6H,Chicago,IL,60607,"$525,000",2,2,"1,550",41.88735,-87.65603,New,60202567,https://www.zillow.com/homedetails/312-N-May-St-UNIT-6H-Chicago-IL-60607/60202567_zpid/,06-10-2022_19:19:22
1824 W Foster Ave #202,Chicago,IL,60640,"$620,000",3,2,"1,700",,,New,2062926899,https://www.zillow.com/homedetails/1824-W-Foster-Ave-202-Chicago-IL-60640/2062926899_zpid/,06-10-2022_19:19:22
